system:index,Latitude,Longitude,Year,.geo
0000000000000000257d_0,5.177895403417305,-1.204920103089389,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035ad_0,6.456286100792498,-2.280680809320946,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002126_0,5.681273748190402,-2.097497456770376,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035d5_0,6.454922365869358,-2.275799516699684,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000257e_0,5.177894636110712,-1.204649537112363,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000212b_0,5.681001966161477,-2.097226988801998,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002125_0,5.681274171299521,-2.097768347318112,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035d4_0,6.45492275141749,-2.276070805859798,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002575_0,5.178168200906037,-1.2054604700984015,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002576_0,5.178167433790033,-1.2051899039249117,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000257a_0,5.177898471488737,-1.2060023674037823,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002577_0,5.178166666558531,-1.204919337792051,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002131_0,5.680730607366073,-2.0972274113403366,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035d3_0,6.454923136821196,-2.276342095036455,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002574_0,5.178168967906538,-1.2057310363125142,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000212a_0,5.681002389377228,-2.0974978792024745,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000213b_0,5.680459248568094,-2.0972278338581627,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000213c_0,5.680458825266073,-2.0969569437316866,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002130_0,5.68073103056148,-2.097498301614066,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002573_0,5.178438696969231,-1.2051891387021445,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
