FID,vid,id,source,project,pcode,name,visit_date,visit,novisit_reason,geom,longitude,latitude,location_origin,prefecture,sousprefecture,commune,village,chantiers_numb,workers_numb,workers_women,workers_women_work_type,childunder15,childunder15_work_type,minerals,minerals_diamant,minerals_or,minerals_autre,production_destination,services1_name,services1_frequency,services2_name,services2_frequency,services3_name,services3_frequency,actor_type,actor1name,actor1name_frequency,actor1name_tax,actor1name_pillage,actor1name_forcedlabour,actor1name_buyminerals,actor1name_digging,actor1name_monopoly,actor2name,actor2name_frequency,actor2name_tax,actor2name_pillage,actor2name_forcedlabour,actor2name_buyminerals,actor2name_digging,actor2name_monopoly,actor3name,actor3name_frequency,actor3name_tax,actor3name_pillage,actor3name_forcedlabour,actor3name_buyminerals,actor3name_digging,actor3name_monopoly,roadblocks,roadblocks_actor,environment_water_change,environment_deforestation,conflict_category,conflict_type,accident_injured,accident_dead
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b9a,31,103,IPIS,IPIS - TetraTech 2019,cafmine00103,Rota,2019/4/24,1,,POINT (16.439273 6.437566),16.439273,6.437566,Approximation,Ouham-Pendé,Bozoum,Dan-Gbabiri,Rota,2,100,50,"Creuser, Laver, Transporter, Traiter",30,"Creuser, Laver, Transporter, Traiter",Or,0,1,0,"Bozoum, Garoua Boulaï, Mbai Mboum",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension chauffage,Conflit lié _ l__xploitation artisanale,"Conflits lié au vol, Conflits concernant le partage des gains",0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b9b,32,8,IPIS,IPIS - TetraTech 2019,cafmine00008,Pama-Drol,2019/4/25,1,,POINT (17.516961 4.727429),17.516961,4.727429,Approximation,Ombella-M'Poko,Bossembélé,La Mbi,Lambi,1,63,15,"Creuser, Transporter, Autres activités",8,"Creuser, Laver, Autres activités","Diamant, Or",1,1,0,"Boda, Yaloké, Boali, Bangui",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension etayement chauffage,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b9c,33,13,IPIS,IPIS - TetraTech 2019,cafmine00013,Nahaton,2019/4/25,1,,POINT (15.667726 6.81885),15.667726,6.81885,Approximation,Ouham-Pendé,Bocaranga,Bocaranga,Boléré,3,300,175,"Creuser, Concasser, Laver, Transporter",20,"Laver, Transporter",Or,0,1,0,"Tchad, Cameroun 2, Nigeria",Services de santé,permanent,Gendarmerie,aleatoire,Administration des mines,an,groupe_arme,3R,semaine,0,0,,0,,0,,,,,,,,,,,,,,,,,0,,1,extension etayement chauffage,"Conflit lié _ l__xploitation artisanale, Conflit avec des acteurs extérieurs au site","Conflits de limites, Conflits avec des groupes armés non-étatiques",0,7
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b9d,34,14,IPIS,IPIS - TetraTech 2019,cafmine00014,Moundji Centre,2019/4/25,1,,POINT (15.669693 6.809184),15.669693,6.809184,Approximation,Ouham-Pendé,Bocaranga,Bocaranga,Boléré,4,1500,700,"Laver, Transporter",50,"Laver, Transporter",Or,0,1,0,"Tchad, Cameroun 2, Nigeria",Autorités locales ou coutumières,aleatoire,Services de santé,trois_mois,,,groupe_arme,3R,permanent,0,1,,,,0,Rebelles Tchadiens,permanent,1,,,1,,,,,,,,,,,0,,1,etayement extension chauffage,"Conflit lié _ l__xploitation artisanale, Conflit avec des acteurs extérieurs au site, Conflit avec des sociétés minières","Conflits de limites, Conflits lié au vol, Conflits avec agriculteurs, Litige de propriété du site avec d'autres activités, Conflits entre propriétaires et exploitants, Conflit entre assureurs et artisans, Conflits avec des groupes armés non-étatiques",2,1
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b9e,35,20,IPIS,IPIS - TetraTech 2019,cafmine00020,Mombondo,2019/4/25,1,,POINT (17.8348083333 3.8465183333),17.83480833,3.84651833,GPS,Lobaye,Mbaïki,Moboma,Ndolobo,4,150,0,,0,,Or,0,1,0,"Bangui, Dubaï",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b9f,36,21,IPIS,IPIS - TetraTech 2019,cafmine00021,Mondakalaka.,2019/4/25,1,,POINT (17.840075 3.7883216667),17.840075,3.78832167,GPS,Lobaye,Mbaïki,Moboma,Mondakalaka,3,300,0,,21,"Laver, Transporter",Or,0,1,0,"Bagandou, Bangui, Dubaï",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension chauffage,,,5,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4ba0,37,30,IPIS,IPIS - TetraTech 2019,cafmine00030,Gamme-Garouaboulaye,2019/4/25,1,,POINT (16.9493066667 5.5005433333),16.94930667,5.50054333,GPS,Ombella-M'Poko,Yaloké,Guézéli,Garoua-Boulaye,80,1200,700,"Creuser, Laver, Transporter",200,"Creuser, Laver, Transporter",Or,0,1,0,"Gaga, Zawa, Bangui",Brigade minière (USAF),aleatoire,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension,,,20,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4ba1,38,31,IPIS,IPIS - TetraTech 2019,cafmine00031,Senguéyéngué,2019/4/25,1,,POINT (16.94305 5.5120733333),16.94305,5.51207333,GPS,Ombella-M'Poko,Yaloké,Guézéli,Garoua-Boulaye,10,300,200,"Creuser, Laver, Transporter, Traiter",30,"Creuser, Laver, Transporter, Traiter",Or,0,1,0,"Gaga, Yaloké",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension,,,30,2
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4ba2,39,32,IPIS,IPIS - TetraTech 2019,cafmine00032,Gombo,2019/4/25,1,,POINT (16.958975 5.532365),16.958975,5.532365,GPS,Ombella-M'Poko,Yaloké,Guézéli,Carrière,6,120,80,"Laver, Transporter, Traiter",25,"Creuser, Laver, Transporter, Traiter",Or,0,1,0,"Gaga, Yaloké",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension,,,6,1
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4ba3,40,33,IPIS,IPIS - TetraTech 2019,cafmine00033,Zangbana,2019/4/25,0,route,POINT (16.92351 5.52665),16.92351,5.52665,Approximation,Ombella-M'Poko,Yaloké,Guézéli,Carrière,7,150,90,"Laver, Transporter, Traiter",15,"Creuser, Laver, Transporter",Or,0,1,0,"Gaga, Yaloké",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension,,,10,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4ba4,41,88,IPIS,IPIS - TetraTech 2019,cafmine00088,Lao,2019/4/25,1,,POINT (16.463634 6.539739),16.463634,6.539739,Approximation,Ouham-Pendé,Bozoum,Dan-Gbabiri,Lao,3,120,60,"Creuser, Laver, Transporter, Traiter",30,"Laver, Transporter, Traiter",Or,0,1,0,Bozoum,Services de santé,aleatoire,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,chauffage extension,,,0,0
